id	idiom	type	genlang_point	map	lang	branch	fam	value5	value5_name	feature	forms	label_as_in_source	value4	value4_name	value2	value2_name	value1	value1_name	value3	value3_name	elevation	main 3pron	stems number	number	number of stems	source	page	comment	over_features	over_source	over_page	contributor	date
1	Northern Akhvakh	dialect_toplevel	yes	yes	Akhvakh	Andic	EC	NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	ha, hu + (-de/u, -ƛe/u, -ge/u.)	proximal, distal	S-prox, S-dist	Orientation of demonstrative systems (ii)	monocentric	Orientation of demonstrative systems (i)	2	Distance contrasts	affixes	Elevation	TRUE			2	Number of demonstrative stems	creisselsdraft2020	13					Timofey Mukhin	22.01.2023
2	Tad-Magitl'	village	no	no	Akhvakh	Andic		NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	гьа, гьу + (-д- , -г-, -лъ1)	этот, из сферы 1-го лица'; 'тот, из сферы 2-го лица' + ('на одном уровне с собеседником'; 'ниже собеседника'; 'выше собеседника')	S-prox, A-prox	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	2	Distance contrasts	affixes	Elevation	TRUE	all	2	2		magomedovaabdulaeva2007	681-682					Timofey Mukhin	22.01.2023
3	Upper Andi	dialect_toplevel	yes	yes	Andi	Andic	EC	S&A dist	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	гъов/гъонов, [гъев/гъенев, гъундов + (-д-, -г-, -лъ-)]	ближе к 1-му лицу'; 'ближе ко 2-му лицу'; 'ближе к 3-му лицу' + ('на одном уровне с собеседником'; 'ниже собеседника'; 'выше собеседника')	S-prox, A-prox, S&A dist	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	3	Distance contrasts	affixes	Elevation	TRUE	distal	>=2	3	Number of demonstrative stems	sulejmanov1957	323-328	приводит формы, но не сводит их к основам и показателям (столбец stems-додумка). судя по схеме выше/ниже нет у 'ближе к 1-му лицу', у 'ближе 3-му лицу' (а может еще у кого) нет немаркированной по высоте формы				Timofey Mukhin	22.01.2023
4	Zilo	village	no	yes	Andi	Andic	EC	NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	ho-cl/hono-cl, [he-cl/hene-cl, hi(ni)di-cl, hundo-cl] + (-d-, -g-, -ɬ-)	near the speaker'; 'neat the addresse'; 'distal'; 'distal which the latter refers to objects that are relatively further away.' + ('same level=eye-height'; 'lower'; 'higher')	S-prox, A-prox, S&A dist, S&A far	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	4	Distance contrasts	affixes	Elevation	TRUE	all	21	4	Number of demonstrative stems	kayeetaldraft2020	12-13	of which the latter refers to objects that are relatively further away- про все дистальные формы или только одну? 4 степени удаленности? что за distal, от кого? только к medial и distal по высоте				Timofey Mukhin	22.01.2023
5	Kvanada	village	yes	yes	Bagvalal	Andic	EC	NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	a,o,uhu,u	этот, близкий к говорящему; этот, удаленный от говорящего или ненаблюдаемый говорящим; тот, удаленный от говорящего и слушающего; тот, удаленный от говорящего	S-prox, S-dist, S-far, S&A dist	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	4	Distance contrasts	no elevation	Elevation	FALSE	proximal, medial	4	4	Number of demonstrative stems	kibrik2001	161, 658, 670	непонятно насколько она не p-o. в толковании дальнего д есть слушающий, а так нигде нет. в чем разница между удаленными. на с 161 наречия do. а может и нет (с 658) +ТАБЛИЧКА НА СТР 670!				Timofey Mukhin	22.01.2023
6	Bagvalal	language	no	yes	Bagvalal	Andic	EC	NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	а,о,е + (-д-, -в-, лгь)	этот, находящийся в сфере 1-го лица; этот, находящийся в сфере 2-го лица; ? + (на одном уровне с собеседниками; ниже; выше)	NA	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	>=2	Distance contrasts	affixes	Elevation	TRUE	all	3	3	Number of demonstrative stems	magometova2004	579-580	e семантика не написана				Timofey Mukhin	22.01.2023
7	Botlikh	village	yes	yes	Botlikh	Andic	EC	A-prox	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	ha-, ga-, hu-, go-, do-	X is in the direct vicinity of the speaker; X is in the vicinity of the speaker, a little to the side; X is close(r) to the addressee; X is not in the vicinity of the speaker or the addressee. In case of an event or time, it is equally familiar to both; X is not in the vicinity of the speaker or the addressee. Relatively further away than referents designated with go-.	S-prox, S-dist, A-prox, S&A dist, S&A far	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	5	Distance contrasts	no elevation	Elevation	FALSE	medial		5	Number of demonstrative stems	alexeyevverheesdraft2020	9	надо решить какое описание выбрать, а то там сказано сильно разное. что значит a little to the side? и вообще что это за система???				Timofey Mukhin	22.01.2023
8	Gadyri	dialect_toplevel	yes	yes	Chamalal	Andic	EC	NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	о, ав, гьу + (-д-, -ж-, -лъ-) 	недалеко от говорящего, но не присутствующий, в непосредственной близости, более отдаленного чем ав	S-prox, S-dist, S-far	Orientation of demonstrative systems (ii)	monocentric	Orientation of demonstrative systems (i)	3	Distance contrasts	affixes	Elevation	TRUE		3	3	Number of demonstrative stems	bokarev1949a	66					Timofey Mukhin	22.01.2023
9	Godoberi	village	yes	yes	Godoberi	Andic	EC	S&A dist	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	ha-,hu-,ho-,hada-,hudo-,he-	this, close to the speaker; this, close to the listener; aforementioned or that far away; at some distance from the speaker; at some distance from the listener; that down there, that aside;	S-prox, S-dist, A-prox, A-dist, S&A dist	Orientation of demonstrative systems (ii)	polycentric	Orientation of demonstrative systems (i)	5	Distance contrasts	pronouns	Elevation	TRUE	distal	6	6	Number of demonstrative stems	kibriketal1996	37,42	кажется ядро составляют ha,hu,ho, причем ho записан как анафорическое, а далее+как far away. есть только that down ther/ aside.				Timofey Mukhin	22.01.2023
10	Karata	village	yes	yes	Karata	Andic	EC	NA	Most frequent demonstrative pronoun in anaphoric function	Demonstratives	ha-, ho-, hu- + (-d-, -g-, -ɬ-)	proximal; medial; distal + (same level; lower than the deictic center; higher)	S-prox, S-dist, S-far	Orientation of demonstrative systems (ii)	monocentric	Orientation of demonstrative systems (i)	3	Distance contrasts	affixes	Elevation	TRUE	all	3	3	Number of demonstrative stems	pasquereaudraft2020	16					Timofey Mukhin	22.01.2023
