id	lang	idiom	type	genlang_point	map	form	value1	value1_name	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
1	Andi	Andi	village	yes	yes	R=gu	derived decimally (2x10)	presence of the marker in numeral 20	cercvadze1965	345		Maksim Melenchenko	č̣e-c̣ol-gu	č’e-c’ol-gu		twenty		two-ten-NUM	cercvadze1965	345	
2	Andi	Rikvani	village	no	yes	R=gu	derived decimally (2x10)	presence of the marker in numeral 20	suleymanov1957	299		Maksim Melenchenko	чIецIолгу	č’e-c’ol-gu		twenty		two-ten-NUM	suleymanov1957	299	
3	Andi	Gagatli	village	no	yes	R=gu	derived decimally (2x10)	presence of the marker in numeral 20	salimov2010	132		Maksim Melenchenko	чIецIолгу	č’e-c’ol-gu		twenty		two-ten-NUM	salimov2010	131	
4	Avar	Avar	language	yes	yes	R=go	present	presence of the marker in numeral 20	forkerdraft2020	18		Maksim Melenchenko	q’o=go	q’o=go		twenty		twenty-NUM	forkerdraft2020	18	
5	Avar	Zaqatala	dialect_nt1	no	yes	R=gu	present	presence of the marker in numeral 20	saidova2007	107	20' is said to be the same as in the Standard Avar (q'o=go).	Maksim Melenchenko	—	—	—	—		—	—		
6	Botlikh	Botlikh	village	yes	yes	R-da	derived decimally (2x10)	presence of the marker in numeral 20	azaev2000	354	In [azaev2000: 354] and [magomedbekova2001: 232] it's кIе-цIа-ли-да, in [saidova2001: 225] it's кIа-цIа-да.	Maksim Melenchenko	кIа-цIа-ли-да	k'a-c'a-li-da		twenty		two-ten-NUM.ten-NUM	azaev2000	354	
7	Chamalal	Upper Gakvari	dialect_toplevel	yes	yes	R=da	derived decimally (2x10)	presence of the marker in numeral 20	bokarev1949a	73		Maksim Melenchenko	ечIа-ца-да	eč'a-ca-da		twenty		two-ten-NUM	bokarev1949a	71	
8	Godoberi	Godoberi	village	yes	yes	R=da	derived decimally (2x10)	presence of the marker in numeral 20	tatevosov1996	28		Maksim Melenchenko	k'a:-c'a-da	k'a:-c'a-da		twenty		two-ten-NUM	tatevosov1996	28	
9	Bagvalal	Kvanada	village	yes	yes	R-da	derived decimally (2x10)	presence of the marker in numeral 20	tatevosov2001numerals	156	Tens 20—90, hundreds 200—900, and, apparently, thousands 2 000—9 000 do not have the marker.	Maksim Melenchenko	č'a:-c'a	č'a:-c'a		twenty		two-ten	tatevosov2001numerals	156	
10	Tindi	Tindi	village	yes	yes	R=da	derived decimally (2x10)	presence of the marker in numeral 20	magomedova2012	144	Unclear whether tens 20–90 have the marker (cf. ‘20’ as k’ˤa:-c’a in [magomedova2012: 145] but k’ˤa:-c’a-ja in [authierdraft2020: 15]).	Maksim Melenchenko	кIʼāцӀа	k'ʲa:-c'a	двадцать	twenty		two-ten	magomedova2012	145	
